timestamp,camera_id,total_vehicles,occupancy_rate,flow_rate_per_min,avg_speed,avg_density,congestion_level,hour,day_of_week
1764876292.018544,CAM_SYNTH,79,0.79,79.0,20.5,15.8,High,19,3
1764876352.018544,CAM_SYNTH,98,0.98,98.0,11.0,19.6,Heavy,19,3
1764876412.018544,CAM_SYNTH,96,0.96,96.0,12.0,19.2,Heavy,19,3
1764876472.018544,CAM_SYNTH,75,0.75,75.0,22.5,15.0,High,19,3
1764876532.018544,CAM_SYNTH,72,0.72,72.0,24.0,14.4,High,19,3
1764876592.018544,CAM_SYNTH,78,0.78,78.0,21.0,15.6,High,19,3
1764876652.018544,CAM_SYNTH,71,0.71,71.0,24.5,14.2,High,19,3
1764876712.018544,CAM_SYNTH,99,0.99,99.0,10.5,19.8,Heavy,19,3
1764876772.018544,CAM_SYNTH,93,0.93,93.0,13.5,18.6,Heavy,19,3
1764876832.018544,CAM_SYNTH,86,0.86,86.0,17.0,17.2,Heavy,19,3
1764876892.018544,CAM_SYNTH,94,0.94,94.0,13.0,18.8,Heavy,19,3
1764876952.018544,CAM_SYNTH,91,0.91,91.0,14.5,18.2,Heavy,19,3
1764877012.018544,CAM_SYNTH,82,0.82,82.0,19.0,16.4,Heavy,19,3
1764877072.018544,CAM_SYNTH,77,0.77,77.0,21.5,15.4,High,19,3
1764877132.018544,CAM_SYNTH,94,0.94,94.0,13.0,18.8,Heavy,19,3
1764877192.018544,CAM_SYNTH,83,0.83,83.0,18.5,16.6,Heavy,19,3
1764877252.018544,CAM_SYNTH,85,0.85,85.0,17.5,17.0,Heavy,19,3
1764877312.018544,CAM_SYNTH,82,0.82,82.0,19.0,16.4,Heavy,19,3
1764877372.018544,CAM_SYNTH,85,0.85,85.0,17.5,17.0,Heavy,19,3
1764877432.018544,CAM_SYNTH,91,0.91,91.0,14.5,18.2,Heavy,19,3
1764877492.018544,CAM_SYNTH,91,0.91,91.0,14.5,18.2,Heavy,19,3
1764877552.018544,CAM_SYNTH,107,1.0,107.0,10.0,21.4,Heavy,19,3
1764877612.018544,CAM_SYNTH,88,0.88,88.0,16.0,17.6,Heavy,19,3
1764877672.018544,CAM_SYNTH,77,0.77,77.0,21.5,15.4,High,19,3
1764877732.018544,CAM_SYNTH,92,0.92,92.0,14.0,18.4,Heavy,19,3
1764877792.018544,CAM_SYNTH,78,0.78,78.0,21.0,15.6,High,19,3
1764877852.018544,CAM_SYNTH,94,0.94,94.0,13.0,18.8,Heavy,19,3
1764877912.018544,CAM_SYNTH,84,0.84,84.0,18.0,16.8,Heavy,19,3
1764877972.018544,CAM_SYNTH,78,0.78,78.0,21.0,15.6,High,19,3
1764878032.018544,CAM_SYNTH,108,1.0,108.0,10.0,21.6,Heavy,19,3
1764878092.018544,CAM_SYNTH,96,0.96,96.0,12.0,19.2,Heavy,19,3
1764878152.018544,CAM_SYNTH,92,0.92,92.0,14.0,18.4,Heavy,19,3
1764878212.018544,CAM_SYNTH,115,1.0,115.0,10.0,23.0,Heavy,19,3
1764878272.018544,CAM_SYNTH,114,1.0,114.0,10.0,22.8,Heavy,19,3
1764878332.018544,CAM_SYNTH,87,0.87,87.0,16.5,17.4,Heavy,19,3
1764878392.018544,CAM_SYNTH,69,0.69,69.0,25.5,13.8,High,19,3
1764878452.018544,CAM_SYNTH,21,0.21,21.0,49.5,4.2,Normal,20,3
1764878512.018544,CAM_SYNTH,21,0.21,21.0,49.5,4.2,Normal,20,3
1764878572.018544,CAM_SYNTH,7,0.07,7.0,56.5,1.4,Normal,20,3
1764878632.018544,CAM_SYNTH,8,0.08,8.0,56.0,1.6,Normal,20,3
1764878692.018544,CAM_SYNTH,23,0.23,23.0,48.5,4.6,Normal,20,3
1764878752.018544,CAM_SYNTH,7,0.07,7.0,56.5,1.4,Normal,20,3
1764878812.018544,CAM_SYNTH,7,0.07,7.0,56.5,1.4,Normal,20,3
1764878872.018544,CAM_SYNTH,6,0.06,6.0,57.0,1.2,Normal,20,3
1764878932.018544,CAM_SYNTH,16,0.16,16.0,52.0,3.2,Normal,20,3
1764878992.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,20,3
1764879052.018544,CAM_SYNTH,9,0.09,9.0,55.5,1.8,Normal,20,3
1764879112.018544,CAM_SYNTH,2,0.02,2.0,59.0,0.4,Normal,20,3
1764879172.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,20,3
1764879232.018544,CAM_SYNTH,17,0.17,17.0,51.5,3.4,Normal,20,3
1764879292.018544,CAM_SYNTH,14,0.14,14.0,53.0,2.8,Normal,20,3
1764879352.018544,CAM_SYNTH,22,0.22,22.0,49.0,4.4,Normal,20,3
1764879412.018544,CAM_SYNTH,25,0.25,25.0,47.5,5.0,Normal,20,3
1764879472.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,20,3
1764879532.018544,CAM_SYNTH,2,0.02,2.0,59.0,0.4,Normal,20,3
1764879592.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,20,3
1764879652.018544,CAM_SYNTH,27,0.27,27.0,46.5,5.4,Normal,20,3
1764879712.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,20,3
1764879772.018544,CAM_SYNTH,10,0.1,10.0,55.0,2.0,Normal,20,3
1764879832.018544,CAM_SYNTH,14,0.14,14.0,53.0,2.8,Normal,20,3
1764879892.018544,CAM_SYNTH,17,0.17,17.0,51.5,3.4,Normal,20,3
1764879952.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,20,3
1764880012.018544,CAM_SYNTH,10,0.1,10.0,55.0,2.0,Normal,20,3
1764880072.018544,CAM_SYNTH,15,0.15,15.0,52.5,3.0,Normal,20,3
1764880132.018544,CAM_SYNTH,9,0.09,9.0,55.5,1.8,Normal,20,3
1764880192.018544,CAM_SYNTH,20,0.2,20.0,50.0,4.0,Normal,20,3
1764880252.018544,CAM_SYNTH,25,0.25,25.0,47.5,5.0,Normal,20,3
1764880312.018544,CAM_SYNTH,6,0.06,6.0,57.0,1.2,Normal,20,3
1764880372.018544,CAM_SYNTH,7,0.07,7.0,56.5,1.4,Normal,20,3
1764880432.018544,CAM_SYNTH,4,0.04,4.0,58.0,0.8,Normal,20,3
1764880492.018544,CAM_SYNTH,4,0.04,4.0,58.0,0.8,Normal,20,3
1764880552.018544,CAM_SYNTH,6,0.06,6.0,57.0,1.2,Normal,20,3
1764880612.018544,CAM_SYNTH,10,0.1,10.0,55.0,2.0,Normal,20,3
1764880672.018544,CAM_SYNTH,7,0.07,7.0,56.5,1.4,Normal,20,3
1764880732.018544,CAM_SYNTH,10,0.1,10.0,55.0,2.0,Normal,20,3
1764880792.018544,CAM_SYNTH,11,0.11,11.0,54.5,2.2,Normal,20,3
1764880852.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,20,3
1764880912.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,20,3
1764880972.018544,CAM_SYNTH,10,0.1,10.0,55.0,2.0,Normal,20,3
1764881032.018544,CAM_SYNTH,20,0.2,20.0,50.0,4.0,Normal,20,3
1764881092.018544,CAM_SYNTH,11,0.11,11.0,54.5,2.2,Normal,20,3
1764881152.018544,CAM_SYNTH,19,0.19,19.0,50.5,3.8,Normal,20,3
1764881212.018544,CAM_SYNTH,41,0.41,41.0,39.5,8.2,Normal,20,3
1764881272.018544,CAM_SYNTH,30,0.3,30.0,45.0,6.0,Normal,20,3
1764881332.018544,CAM_SYNTH,4,0.04,4.0,58.0,0.8,Normal,20,3
1764881392.018544,CAM_SYNTH,13,0.13,13.0,53.5,2.6,Normal,20,3
1764881452.018544,CAM_SYNTH,9,0.09,9.0,55.5,1.8,Normal,20,3
1764881512.018544,CAM_SYNTH,21,0.21,21.0,49.5,4.2,Normal,20,3
1764881572.018544,CAM_SYNTH,6,0.06,6.0,57.0,1.2,Normal,20,3
1764881632.018544,CAM_SYNTH,27,0.27,27.0,46.5,5.4,Normal,20,3
1764881692.018544,CAM_SYNTH,14,0.14,14.0,53.0,2.8,Normal,20,3
1764881752.018544,CAM_SYNTH,30,0.3,30.0,45.0,6.0,Normal,20,3
1764881812.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,20,3
1764881872.018544,CAM_SYNTH,19,0.19,19.0,50.5,3.8,Normal,20,3
1764881932.018544,CAM_SYNTH,9,0.09,9.0,55.5,1.8,Normal,20,3
1764881992.018544,CAM_SYNTH,2,0.02,2.0,59.0,0.4,Normal,20,3
1764882052.018544,CAM_SYNTH,17,0.17,17.0,51.5,3.4,Normal,21,3
1764882112.018544,CAM_SYNTH,0,0.0,0.0,60.0,0.0,Normal,21,3
1764882172.018544,CAM_SYNTH,25,0.25,25.0,47.5,5.0,Normal,21,3
1764882232.018544,CAM_SYNTH,12,0.12,12.0,54.0,2.4,Normal,21,3
1764882292.018544,CAM_SYNTH,9,0.09,9.0,55.5,1.8,Normal,21,3
1764882352.018544,CAM_SYNTH,10,0.1,10.0,55.0,2.0,Normal,21,3
1764882412.018544,CAM_SYNTH,29,0.29,29.0,45.5,5.8,Normal,21,3
1764882472.018544,CAM_SYNTH,5,0.05,5.0,57.5,1.0,Normal,21,3
1764882532.018544,CAM_SYNTH,9,0.09,9.0,55.5,1.8,Normal,21,3
1764882592.018544,CAM_SYNTH,12,0.12,12.0,54.0,2.4,Normal,21,3
1764882652.018544,CAM_SYNTH,8,0.08,8.0,56.0,1.6,Normal,21,3
